Category;Name;Price;Status;PreparationTime;Date;DayOfWeek
Angebot des Tages;Putenrahmgeschnetzeltes mit Champignons und Kartoffeln, dazu Dessert + Getränk;8.70;Angebot;;;
Angebot des Tages;Schlemmerfischfilet mit Sauce und Kartoffeln, dazu Salat;8.30;;;;
Angebot des Tages;Eier in Schnittlauchsauce mit Kartoffeln und Salat;7.60;;;;
Angebot des Tages;Nudeln Bolognese, mit Salat o. Dessert;7.80;;;;
Angebot des Tages;Brathering, Bratkartoffeln, Salar;7.90;;;;
Angebot des Tages;Linseneintopf mit Wurstwürfel, Brötchen, Dessert;5.80;;;;
Unsere Klassiker;Hausg. Schweineschnitzel verschiedene Variationen;8.40;;3 Minuten;;
Unsere Klassiker;Schweinesteak verschiedene Variationen, Sättigungsbeilage;8.05;;5 Minuten;;
Unsere Klassiker;Schweinegulasch, Nudeln, Salat;8.10;;;;
Unsere Klassiker;Rostbrätl, Zwiebelsauce, Bratkartoffeln, Salat;8.05;;5 Minuten;;
Unsere Klassiker;Hähnchenschnitzel verschiedene Variationen;8.80;;3 Minuten;;
Unsere Klassiker;Eichsfelder Schlachtebratwurst, Sauce, Sauerkraut, Kartoffeln;8.00;;5 Minuten;;
Unsere Klassiker;Bockwurst mit Kartoffelsalat, Salat;6.60;;;;
Unsere Klassiker;Seelachsfilet Kartoffeln, Sauce, Salat;8.30;;5 Minuten;;
Unsere Klassiker;Soljanka/Gulaschsuppe, Brötchen, Dessert;5.80;;;;
Unsere Klassiker;Sülze, Bratkartoffeln, Remouladensauce, Salat;7.40;;;;
Unsere Klassiker;Kräuterquark, Kartoffeln, Salat;6.95;;;;
Unsere Klassiker;Matjesfilet in Apfelzwiebelsauce, Kartoffeln, Salat;8.05;Ausverkauft;;;
Unsere Klassiker;Kartoffelpuffer mit Apfelmus;6.00;;5 Minuten;;
